Relative errors in the analytical Jacobian (top entry)
 vs. finite difference approximation (middle entry)
 are given in the bottom entry.
Highest  9 errors are shown at the bottom of the file.
 
Note that equations are indexed by i and dependent variables by j.
u# 1,2,3 correspond to u,ux,uy.
f# 1,2,3 correspond to fx,fy,s.

    delta u = 1.00E-05


    i    j     fx_u(i,j)      fy_u(i,j)      s_u(i,j)

    3    6    0.00000E+00    0.00000E+00    0.00000E+00
    3    6    0.00000E+00    0.00000E+00    0.00000E+00

    3    7    0.00000E+00    0.00000E+00    0.00000E+00
    3    7    0.00000E+00    0.00000E+00    0.00000E+00
    3    7    0.00000E+00    0.00000E+00    0.00000E+00

    3    8    0.00000E+00    0.00000E+00    0.00000E+00
    3    8    0.00000E+00    0.00000E+00    0.00000E+00
    3    8    0.00000E+00    0.00000E+00    0.00000E+00

    3    9    0.00000E+00    0.00000E+00    0.00000E+00
    3    9    0.00000E+00    0.00000E+00    0.00000E+00
    3    9    0.00000E+00    0.00000E+00    0.00000E+00

    3   10    0.00000E+00    0.00000E+00    0.00000E+00
    3   10    0.00000E+00    0.00000E+00    0.00000E+00
    3   10    0.00000E+00    0.00000E+00    0.00000E+00

    4    1    0.00000E+00    0.00000E+00    0.00000E+00
    4    1    0.00000E+00    0.00000E+00    0.00000E+00
    4    1    0.00000E+00    0.00000E+00    0.00000E+00

    4    2    0.00000E+00    0.00000E+00    0.00000E+00
    4    2    0.00000E+00    0.00000E+00    0.00000E+00
    4    2    0.00000E+00    0.00000E+00    0.00000E+00

    4    3    0.00000E+00    0.00000E+00    0.00000E+00
    4    3    0.00000E+00    0.00000E+00    0.00000E+00
    4    3    0.00000E+00    0.00000E+00    0.00000E+00

    4    4    0.00000E+00    0.00000E+00    0.00000E+00
    4    4    0.00000E+00    0.00000E+00    0.00000E+00
    4    4    0.00000E+00    0.00000E+00    0.00000E+00

    4    5    0.00000E+00    0.00000E+00    0.00000E+00
    4    5    0.00000E+00    0.00000E+00    0.00000E+00
    4    5    0.00000E+00    0.00000E+00    0.00000E+00

    4    6    0.00000E+00    0.00000E+00    0.00000E+00
    4    6    0.00000E+00    0.00000E+00    0.00000E+00
    4    6    0.00000E+00    0.00000E+00    0.00000E+00

    4    7    0.00000E+00    0.00000E+00    0.00000E+00
    4    7    0.00000E+00    0.00000E+00    0.00000E+00
    4    7    0.00000E+00    0.00000E+00    0.00000E+00

    4    8    0.00000E+00    0.00000E+00    0.00000E+00
    4    8    0.00000E+00    0.00000E+00    0.00000E+00
    4    8    0.00000E+00    0.00000E+00    0.00000E+00

    4    9    0.00000E+00    0.00000E+00    0.00000E+00
    4    9    0.00000E+00    0.00000E+00    0.00000E+00
    4    9    0.00000E+00    0.00000E+00    0.00000E+00

    4   10    0.00000E+00    0.00000E+00    0.00000E+00
    4   10    0.00000E+00    0.00000E+00    0.00000E+00
    4   10    0.00000E+00    0.00000E+00    0.00000E+00

    5    1    0.00000E+00    0.00000E+00    0.00000E+00
    5    1    0.00000E+00    0.00000E+00    0.00000E+00
    5    1    0.00000E+00    0.00000E+00    0.00000E+00

    5    2    0.00000E+00    0.00000E+00    0.00000E+00
    5    2    0.00000E+00    0.00000E+00    0.00000E+00
    5    2    0.00000E+00    0.00000E+00    0.00000E+00

    5    3    0.00000E+00    0.00000E+00    0.00000E+00
    5    3    0.00000E+00    0.00000E+00    0.00000E+00
    5    3    0.00000E+00    0.00000E+00    0.00000E+00

    5    4    0.00000E+00    0.00000E+00    0.00000E+00
    5    4    0.00000E+00    0.00000E+00    0.00000E+00
    5    4    0.00000E+00    0.00000E+00    0.00000E+00

    5    5    0.00000E+00    0.00000E+00    0.00000E+00
    5    5    0.00000E+00    0.00000E+00    0.00000E+00
    5    5    0.00000E+00    0.00000E+00    0.00000E+00

    5    6    0.00000E+00    0.00000E+00    0.00000E+00
    5    6    0.00000E+00    0.00000E+00    0.00000E+00
    5    6    0.00000E+00    0.00000E+00    0.00000E+00

    5    7    0.00000E+00    0.00000E+00    0.00000E+00
    5    7    0.00000E+00    0.00000E+00    0.00000E+00
    5    7    0.00000E+00    0.00000E+00    0.00000E+00

    5    8    0.00000E+00    0.00000E+00    0.00000E+00
    5    8    0.00000E+00    0.00000E+00    0.00000E+00
    5    8    0.00000E+00    0.00000E+00    0.00000E+00

    5    9    0.00000E+00    0.00000E+00    0.00000E+00
    5    9    0.00000E+00    0.00000E+00    0.00000E+00
    5    9    0.00000E+00    0.00000E+00    0.00000E+00

    5   10    0.00000E+00    0.00000E+00    0.00000E+00
    5   10    0.00000E+00    0.00000E+00    0.00000E+00
    5   10    0.00000E+00    0.00000E+00    0.00000E+00

    6    1    0.00000E+00    0.00000E+00    0.00000E+00
    6    1    0.00000E+00    0.00000E+00    0.00000E+00
    6    1    0.00000E+00    0.00000E+00    0.00000E+00

    6    2    0.00000E+00    0.00000E+00    0.00000E+00
    6    2    0.00000E+00    0.00000E+00    0.00000E+00
    6    2    0.00000E+00    0.00000E+00    0.00000E+00

    6    3    0.00000E+00    0.00000E+00    0.00000E+00
    6    3    0.00000E+00    0.00000E+00    0.00000E+00
    6    3    0.00000E+00    0.00000E+00    0.00000E+00

    6    4    0.00000E+00    0.00000E+00    0.00000E+00
    6    4    0.00000E+00    0.00000E+00    0.00000E+00
    6    4    0.00000E+00    0.00000E+00    0.00000E+00

    6    5    0.00000E+00    0.00000E+00    0.00000E+00
    6    5    0.00000E+00    0.00000E+00    0.00000E+00
    6    5    0.00000E+00    0.00000E+00    0.00000E+00

    6    6    0.00000E+00    0.00000E+00    0.00000E+00
    6    6    0.00000E+00    0.00000E+00    0.00000E+00
    6    6    0.00000E+00    0.00000E+00    0.00000E+00

    6    7    0.00000E+00    0.00000E+00    0.00000E+00
    6    7    0.00000E+00    0.00000E+00    0.00000E+00
    6    7    0.00000E+00    0.00000E+00    0.00000E+00

    6    8    0.00000E+00    0.00000E+00    0.00000E+00
    6    8    0.00000E+00    0.00000E+00    0.00000E+00
    6    8    0.00000E+00    0.00000E+00    0.00000E+00

    6    9    0.00000E+00    0.00000E+00    0.00000E+00
    6    9    0.00000E+00    0.00000E+00    0.00000E+00
    6    9    0.00000E+00    0.00000E+00    0.00000E+00

    6   10    0.00000E+00    0.00000E+00    0.00000E+00
    6   10    0.00000E+00    0.00000E+00    0.00000E+00
    6   10    0.00000E+00    0.00000E+00    0.00000E+00

    7    1    0.00000E+00    0.00000E+00    0.00000E+00
    7    1    0.00000E+00    0.00000E+00    0.00000E+00
    7    1    0.00000E+00    0.00000E+00    0.00000E+00

    7    2    0.00000E+00    0.00000E+00    0.00000E+00
    7    2    0.00000E+00    0.00000E+00    0.00000E+00
    7    2    0.00000E+00    0.00000E+00    0.00000E+00

    7    3    0.00000E+00    0.00000E+00    0.00000E+00
    7    3    0.00000E+00    0.00000E+00    0.00000E+00
    7    3    0.00000E+00    0.00000E+00    0.00000E+00

    7    4    0.00000E+00    0.00000E+00    0.00000E+00
    7    4    0.00000E+00    0.00000E+00    0.00000E+00
    7    4    0.00000E+00    0.00000E+00    0.00000E+00

    7    5    0.00000E+00    0.00000E+00    0.00000E+00
